epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.816,1.30386,5.37576,1.26876,0,0,0,0,1.10276,4.81782,1.08212,5.21587e-05,5.21587e-05,5.21587e-05
2,55.5761,1.23534,4.94636,1.20385,0.41851,0.03444,0.01436,0.01103,1.24937,4.13369,1.13723,0.000104118,0.000104118,0.000104118
3,82.7385,1.2457,4.46692,1.21704,0.42551,0.06768,0.02807,0.02081,1.21984,3.78246,1.19087,0.000155027,0.000155027,0.000155027
4,111.846,1.24365,4.22983,1.20256,0.48341,0.04965,0.03245,0.02593,1.22552,3.58645,1.18656,0.000154278,0.000154278,0.000154278
5,139.026,1.22403,4.06824,1.22051,0.45165,0.06579,0.04036,0.03037,1.23856,3.46761,1.16609,0.000152704,0.000152704,0.000152704
6,166.212,1.26806,3.95922,1.2084,0.43812,0.09084,0.04305,0.03279,1.21973,3.3566,1.15181,0.000151129,0.000151129,0.000151129
7,192.871,1.20621,3.76671,1.1848,0.47527,0.07805,0.04601,0.03541,1.1972,3.29313,1.1495,0.000149555,0.000149555,0.000149555
8,219.346,1.19081,3.64464,1.17396,0.4311,0.11868,0.06082,0.0466,1.21803,3.19784,1.1539,0.000147981,0.000147981,0.000147981
9,246.563,1.18077,3.59514,1.1706,0.47916,0.08404,0.05412,0.04107,1.20824,3.23848,1.17041,0.000146407,0.000146407,0.000146407
10,273.365,1.14688,3.47351,1.16479,0.54021,0.08599,0.0611,0.04527,1.19085,3.19984,1.16553,0.000144833,0.000144833,0.000144833
11,300.206,1.17026,3.49948,1.16453,0.49041,0.10824,0.05965,0.04718,1.20261,3.13969,1.15434,0.000143259,0.000143259,0.000143259
12,327.699,1.16186,3.34716,1.13927,0.47276,0.10489,0.06507,0.05315,1.19095,3.12768,1.13889,0.000141685,0.000141685,0.000141685
13,356.935,1.14539,3.35587,1.15334,0.494,0.10379,0.07924,0.06435,1.18733,3.05991,1.14259,0.000140111,0.000140111,0.000140111
14,383.927,1.13655,3.31253,1.13627,0.43777,0.11223,0.07772,0.06324,1.17404,3.08587,1.13292,0.000138537,0.000138537,0.000138537
15,409.059,1.13601,3.22315,1.14326,0.46355,0.10195,0.07886,0.0635,1.1981,3.08293,1.13608,0.000136963,0.000136963,0.000136963
16,436.291,1.07741,3.19287,1.12107,0.43867,0.13074,0.09036,0.07243,1.18187,3.05871,1.13879,0.000135388,0.000135388,0.000135388
17,463.866,1.10133,3.10788,1.12156,0.42342,0.15622,0.08332,0.0669,1.15809,2.96978,1.13227,0.000133814,0.000133814,0.000133814
18,490.6,1.13329,3.08627,1.13012,0.44687,0.13612,0.10993,0.08549,1.16851,3.00439,1.13369,0.00013224,0.00013224,0.00013224
19,517.968,1.07722,3.02711,1.11774,0.45013,0.14527,0.09255,0.07349,1.16215,2.99203,1.13855,0.000130666,0.000130666,0.000130666
20,544.604,1.12001,3.02606,1.11733,0.52527,0.11108,0.10285,0.07528,1.16996,2.97356,1.14264,0.000129092,0.000129092,0.000129092
21,571.221,1.09277,2.96308,1.11226,0.53703,0.10955,0.09972,0.08032,1.16214,2.97748,1.12787,0.000127518,0.000127518,0.000127518
22,597.556,1.06397,2.93694,1.11324,0.40808,0.15106,0.10611,0.08133,1.1722,2.96628,1.14653,0.000125944,0.000125944,0.000125944
23,626.147,1.09906,2.89231,1.10856,0.40993,0.15507,0.11235,0.08877,1.15454,2.94192,1.13006,0.00012437,0.00012437,0.00012437
24,653.217,1.04542,2.80907,1.089,0.42609,0.15465,0.10339,0.08513,1.16352,2.94959,1.13846,0.000122796,0.000122796,0.000122796
25,680.518,1.06555,2.85484,1.1064,0.38202,0.16773,0.10194,0.08313,1.15747,2.95088,1.12899,0.000121222,0.000121222,0.000121222
26,707.341,1.08232,2.82511,1.09469,0.3965,0.14469,0.10472,0.08629,1.17802,2.95207,1.13106,0.000119647,0.000119647,0.000119647
27,734.258,1.06975,2.74906,1.09937,0.41391,0.14322,0.09892,0.07971,1.15791,2.94647,1.13072,0.000118073,0.000118073,0.000118073
28,760.841,1.04224,2.72205,1.07764,0.37828,0.13938,0.09336,0.07499,1.14577,2.9398,1.12333,0.000116499,0.000116499,0.000116499
29,787.588,1.04568,2.64207,1.08547,0.37988,0.15823,0.10426,0.08338,1.16198,2.9271,1.13118,0.000114925,0.000114925,0.000114925
30,813.254,1.03214,2.61697,1.08021,0.43826,0.14881,0.11315,0.08998,1.16456,2.92487,1.13003,0.000113351,0.000113351,0.000113351
31,840.107,1.03963,2.62275,1.08712,0.39923,0.16212,0.10833,0.08893,1.15084,2.87834,1.1293,0.000111777,0.000111777,0.000111777
32,867.505,1.02912,2.55254,1.08606,0.4212,0.12954,0.09877,0.08058,1.16316,2.89969,1.13666,0.000110203,0.000110203,0.000110203
33,896.901,1.05751,2.61338,1.08408,0.41109,0.16575,0.10377,0.08239,1.16508,2.93526,1.13027,0.000108629,0.000108629,0.000108629
34,923.773,1.04448,2.55657,1.08051,0.36505,0.15043,0.10853,0.08754,1.17229,2.92667,1.13239,0.000107055,0.000107055,0.000107055
35,950.755,1.03679,2.49204,1.07685,0.40093,0.15939,0.11394,0.09196,1.15421,2.86302,1.13046,0.000105481,0.000105481,0.000105481
36,978.024,1.05979,2.52254,1.08636,0.45976,0.1243,0.09978,0.08016,1.15873,2.94259,1.13447,0.000103906,0.000103906,0.000103906
37,1004.72,1.01529,2.48935,1.06639,0.46737,0.13108,0.11511,0.09433,1.13811,2.90476,1.11597,0.000102332,0.000102332,0.000102332
38,1032.02,1.00648,2.39198,1.0652,0.3833,0.15662,0.10452,0.08423,1.14789,2.8844,1.11865,0.000100758,0.000100758,0.000100758
39,1058.67,1.01399,2.40933,1.06157,0.37452,0.15631,0.10796,0.08981,1.1347,2.90906,1.12814,9.91842e-05,9.91842e-05,9.91842e-05
40,1084.32,1.01275,2.36952,1.07618,0.43217,0.13803,0.10924,0.08939,1.13963,2.92896,1.12809,9.76101e-05,9.76101e-05,9.76101e-05
41,1110.92,1.00173,2.37556,1.0603,0.49853,0.12136,0.10902,0.08948,1.1613,2.92009,1.14257,9.6036e-05,9.6036e-05,9.6036e-05
